2, urn:aim:QWaV0d97bFTpwByF:1, Agriculture, Forestry and Fishing, A, urn:aim:gnoqpBGGy1R9Ty3X:1, Agriculture, 01
2, urn:aim:QWaV0d97bFTpwByF:1, Agriculture, Forestry and Fishing, A, urn:aim:o78y5HRlxgjIXtRT:1, Aquaculture, 02
2, urn:aim:QWaV0d97bFTpwByF:1, Agriculture, Forestry and Fishing, A, urn:aim:SQ8BYEDhTMWoOiDL:1, Forestry and Logging, 03
2, urn:aim:QWaV0d97bFTpwByF:1, Agriculture, Forestry and Fishing, A, urn:aim:GeqrwQsqMJRXzQ2A:1, Fishing, Hunting and Trapping, 04
2, urn:aim:QWaV0d97bFTpwByF:1, Agriculture, Forestry and Fishing, A, urn:aim:tDpbnckMe1BeRbGT:1, Agriculture, Forestry and Fishing Support Services, 05
2, urn:aim:gbw2x1lKLZU2IBKT:1, Mining, B, urn:aim:DHLddZWrQFzcJFOV:1, Coal Mining, 06
2, urn:aim:gbw2x1lKLZU2IBKT:1, Mining, B, urn:aim:FkhD0M0SowXEICQK:1, Oil and Gas Extraction, 07
2, urn:aim:gbw2x1lKLZU2IBKT:1, Mining, B, urn:aim:VfOk3vcZWV5qHchA:1, Metal Ore Mining, 08
2, urn:aim:gbw2x1lKLZU2IBKT:1, Mining, B, urn:aim:UG8s6DQqQA66aKYV:1, Non-Metallic Mineral Mining and Quarrying, 09
2, urn:aim:gbw2x1lKLZU2IBKT:1, Mining, B, urn:aim:Orlkyq0BKjTAuAXW:1, Exploration and Other Mining Support Services, 10
2, urn:aim:DLtMwDOtLb3AlE3W:1, Manufacturing, C, urn:aim:EfgtDzHm8L5EvGkR:1, Food Product Manufacturing, 11
2, urn:aim:DLtMwDOtLb3AlE3W:1, Manufacturing, C, urn:aim:hEGmaRnlgvaZlbsA:1, Beverage and Tobacco Product Manufacturing, 12
2, urn:aim:DLtMwDOtLb3AlE3W:1, Manufacturing, C, urn:aim:sr2FjK3UfoxTJ81F:1, Textile, Leather, Clothing and Footwear Manufacturing, 13
2, urn:aim:DLtMwDOtLb3AlE3W:1, Manufacturing, C, urn:aim:iK1oG9L3IMme3oQW:1, Wood Product Manufacturing, 14
2, urn:aim:DLtMwDOtLb3AlE3W:1, Manufacturing, C, urn:aim:kNF4EYkGJGHYfXjV:1, Pulp, Paper and Converted Paper Product Manufacturing, 15
2, urn:aim:DLtMwDOtLb3AlE3W:1, Manufacturing, C, urn:aim:g9NsbW6IEDKyrTkX:1, Printing (including the Reproduction of Recorded Media), 16
